"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33636","e2e test with 1 item, method 'Cash On Delivery' and comment","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.singleItem.spec.ts","",""
"","5881","Successful registration","Mobile Safari","2026-08-03","passed","2026-08-03","","register.spec.ts","",""
"","5340","Invalid E-Mail Address","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","2631","Invalid E-Mail Address","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","15292","Empty First Name field","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","2615","Search shows no product for product doesn't exist","chromium","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","18764","Empty Last Name field","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","4102","Successful login","webkit","2026-08-03","passed","2026-08-03","","login.spec.ts","",""
"","8261","BUG: no-results message incorrectly shows ""Your shopping cart is empty!"" instead of a proper no-results message","chromium","2026-08-03","passed","2026-08-03","","search.negative.spec.ts","",""
"","3470","Passwords don't coincide","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","4132","Passwords don't coincide","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","5750","Invalid Password","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","9975","Changing product quantity recalculates total number and sum","Mobile Safari","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","8862","Removing The product from the cart","firefox","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","4646","Password with leading space","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","4227","Registration with already existing email","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","14417","Checkout is blocked when Region/State is not selected","chromium","2026-08-03","failed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","4518","Empty First Name field","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","2848","Empty First Name field","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","4393","Search shows no product for empty query","webkit","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","6631","Successful registration","webkit","2026-08-03","passed","2026-08-03","","register.spec.ts","",""
"","3371","Registration with already existing email","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","3955","Invalid E-Mail Address","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","4031","Password with leading space","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","37117","e2e checkout flow with multiple items, Bank Transfer, no comment","firefox","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.multipleItems.spec.ts","",""
"","3232","Invalid Email","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","6708","User makes search for a product and opens its card","firefox","2026-08-03","passed","2026-08-03","","search.spec.ts","",""
"","13849","Product price recalculates after currency switch","Mobile Safari","2026-08-03","passed","2026-08-03","","header.currency.spec.ts","",""
"","2778","Empty E-Mail Address and Password","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","19712","Empty City field","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","4045","Too short telephone","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","0","e2e test with 1 item, method 'Cash On Delivery' — parses order summary table","webkit","2026-08-03","skipped","2026-08-03","","checkout.ordersummary.spec.ts","",""
"","3893","Passwords don't coincide","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","0","e2e test with 1 item, method 'Cash On Delivery' — parses order summary table","firefox","2026-08-03","skipped","2026-08-03","","checkout.ordersummary.spec.ts","",""
"","14357","Checkout is blocked when Terms and Conditions is not accepted","chromium","2026-08-03","passed","2026-08-03","","checkout.negative.spec.ts","",""
"","4136","Too short telephone","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","4417","Invalid Email","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","20670","Checkout is blocked when Region/State is not selected","firefox","2026-08-03","failed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","4692","User makes search for a product and opens its card","chromium","2026-08-03","passed","2026-08-03","","search.spec.ts","",""
"","3035","Too short telephone","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","19726","e2e test with 1 item, method 'Cash On Delivery' and comment","firefox","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.singleItem.spec.ts","",""
"","8024","Applying an invalid coupon","firefox","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","3838","Search shows no product for special characters","firefox","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
